EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-11.173,1.503,-8.901,-11.347,-5.324,-2.623,-0.956,3.536,0.033,0.993,0.052,-0.580,-0.031,-0.427,100.000,148136.000,1.000
-11.484,-0.683,-9.449,-12.949,-7.314,-4.640,-2.849,1.348,0.034,0.993,0.055,-0.519,-0.092,-0.397,100.000,148137.000,1.000
-11.874,-2.961,-10.111,-14.458,-8.785,-5.762,-4.375,-0.552,0.035,0.995,0.059,-0.549,-0.061,-0.488,100.000,148138.000,1.000
-12.249,-4.536,-10.808,-15.542,-9.460,-5.569,-4.953,-1.695,0.035,0.996,0.055,-0.488,-0.122,-0.427,100.000,148139.000,1.000
-12.480,-5.040,-11.478,-16.139,-9.328,-4.450,-4.515,-2.076,0.036,0.994,0.056,-0.397,-0.153,-0.427,100.000,148140.000,1.000
-12.629,-4.847,-12.312,-16.483,-8.960,-3.435,-3.545,-2.053,0.036,0.996,0.058,-0.488,-0.427,-0.549,100.000,148141.000,1.000
-12.730,-4.499,-13.312,-16.832,-8.906,-3.304,-2.628,-1.971,0.037,0.996,0.057,-0.519,-0.366,-0.549,100.000,148142.000,1.000
-12.832,-4.340,-14.167,-17.282,-9.326,-4.012,-2.003,-1.974,0.039,0.995,0.055,-0.488,-0.397,-0.610,100.000,148143.000,1.000
-13.032,-4.512,-14.626,-17.706,-10.101,-4.822,-1.310,-1.874,0.039,0.997,0.058,-0.549,-0.366,-0.732,100.000,148144.000,1.000
-13.069,-4.745,-14.252,-17.846,-10.518,-4.932,0.171,-1.173,0.039,0.998,0.059,-0.549,-0.366,-0.763,100.000,148145.000,1.000
-12.656,-4.919,-13.118,-17.820,-10.400,-4.347,2.291,0.007,0.040,0.995,0.057,-0.580,-0.244,-0.763,100.000,148146.000,1.000
-11.702,-5.081,-11.772,-18.154,-10.185,-3.845,3.774,0.754,0.042,0.996,0.060,-0.610,-0.366,-0.763,100.000,148147.000,1.000
-10.541,-5.389,-10.913,-19.344,-10.465,-4.285,3.227,0.163,0.041,0.994,0.062,-0.763,-0.275,-0.977,100.000,148148.000,1.000
-9.735,-6.015,-11.095,-21.287,-11.653,-5.917,0.290,-1.773,0.039,0.993,0.063,-0.671,-0.214,-0.946,100.000,148149.000,1.000
-9.438,-6.710,-11.977,-23.101,-13.249,-8.078,-3.940,-4.014,0.038,0.993,0.062,-0.641,-0.061,-1.068,100.000,148150.000,1.000
-9.533,-7.144,-12.925,-23.725,-14.604,-9.654,-7.727,-5.458,0.041,0.993,0.063,-0.610,-0.153,-1.099,100.000,148151.000,1.000
-9.610,-6.846,-13.208,-22.412,-14.996,-9.629,-9.502,-5.420,0.041,0.993,0.062,-0.580,-0.153,-1.190,100.000,148152.000,1.000
-9.068,-5.344,-12.183,-19.051,-13.806,-7.590,-8.623,-3.846,0.041,0.993,0.059,-0.580,-0.122,-1.495,100.000,148153.000,1.000
-7.417,-2.617,-9.748,-14.300,-11.124,-3.907,-5.709,-1.398,0.038,0.994,0.062,-0.458,-0.061,-1.495,100.000,148154.000,1.000
-4.474,0.912,-6.054,-9.317,-7.396,0.603,-2.039,0.977,0.037,0.991,0.062,-0.427,0.000,-1.556,100.000,148155.000,1.000
-0.902,4.184,-1.954,-5.383,-3.750,4.936,1.068,2.368,0.036,0.990,0.062,-0.366,-0.122,-1.495,100.000,148156.000,1.000
2.135,6.199,1.402,-3.277,-1.300,8.160,2.757,2.346,0.036,0.990,0.060,-0.305,0.031,-1.556,100.000,148157.000,1.000
3.542,6.492,3.083,-3.043,-0.575,9.573,2.627,0.967,0.037,0.988,0.060,-0.214,0.000,-1.495,100.000,148158.000,1.000
2.789,5.217,2.589,-4.071,-1.545,9.006,0.724,-1.375,0.036,0.988,0.062,-0.092,-0.061,-1.465,100.000,148159.000,1.000
0.451,3.384,0.554,-5.211,-3.145,7.181,-2.066,-3.776,0.035,0.990,0.062,0.031,0.031,-1.434,100.000,148160.000,1.000
-2.159,2.174,-1.805,-5.280,-4.166,5.430,-4.285,-5.131,0.034,0.990,0.063,0.122,0.092,-1.312,100.000,148161.000,1.000
-3.561,2.451,-3.186,-3.582,-3.627,5.079,-4.488,-4.477,0.035,0.988,0.061,0.122,0.092,-1.190,100.000,148162.000,1.000
-3.033,4.265,-2.954,-0.379,-1.277,6.670,-2.159,-1.626,0.034,0.989,0.063,0.061,0.061,-1.129,100.000,148163.000,1.000
-1.040,6.782,-1.655,3.236,1.974,9.679,1.963,2.577,0.033,0.990,0.060,0.153,0.122,-1.007,100.000,148164.000,1.000
1.319,9.011,-0.189,6.049,4.966,12.932,6.433,6.851,0.034,0.991,0.056,0.275,0.092,-0.854,100.000,148165.000,1.000
2.742,10.022,0.392,7.099,6.389,15.062,9.399,9.677,0.034,0.989,0.054,0.214,0.092,-0.763,100.000,148166.000,1.000
2.546,9.494,-0.410,6.080,5.605,15.148,9.401,9.803,0.033,0.989,0.054,0.244,-0.031,-0.610,100.000,148167.000,1.000
